year,energy_type,country_code,energy
1980,coal,AUT,0.120065682
1980,natural_gas,AUT,0.185256
1980,petroleum,AUT,0.497764429
1980,all_renewable,AUT,0.313719019
1980,renewables,AUT,0.313719019
1980,total,AZE,
1980,coal,AZE,
1980,natural_gas,AZE,
1980,petroleum,AZE,
1980,all_renewable,AZE,
1980,nuclear,AZE,
1980,renewables,AZE,
1980,total,BHR,0.137079245
1980,coal,BHR,0
1980,natural_gas,BHR,0.1047
1980,petroleum,BHR,0.032379245
1980,all_renewable,BHR,0
1980,renewables,BHR,0
1980,total,BGD,0.122372349
1980,coal,BGD,0.000483959
1980,natural_gas,BGD,0.04705
1980,petroleum,BGD,0.068065241
1980,all_renewable,BGD,0.006773148
1980,renewables,BGD,0.006773148
1980,total,BRB,0.014607404
1980,coal,BRB,0
1980,natural_gas,BRB,0.0004188
1980,petroleum,BRB,0.014188604
1980,all_renewable,BRB,0
1980,renewables,BRB,0
1980,total,BLR,
1980,coal,BLR,
1980,natural_gas,BLR,
1980,petroleum,BLR,
1980,all_renewable,BLR,
1980,nuclear,BLR,
1980,renewables,BLR,
1980,total,BEL,2.13214392
1980,coal,BEL,0.474311142
1980,natural_gas,BEL,0.395115
1980,petroleum,BEL,1.12837983
1980,all_renewable,BEL,0.134337948
1980,nuclear,BEL,0.123758328
1980,renewables,BEL,0.01057962
1980,total,BLZ,0.003592158
1980,coal,BLZ,0
1980,natural_gas,BLZ,0
1980,petroleum,BLZ,0.003176638
1980,all_renewable,BLZ,0.00041552
1980,renewables,BLZ,0.00041552
1980,total,BEN,0.006526525
1980,coal,BEN,0
1980,natural_gas,BEN,0
1980,petroleum,BEN,0.006127321
1980,all_renewable,BEN,0.000399204
1980,renewables,BEN,0.000399204
1980,total,BMU,0.007977284
1980,coal,BMU,0
1980,natural_gas,BMU,0
1980,petroleum,BMU,0.007977284
1980,all_renewable,BMU,0
1980,renewables,BMU,0
1980,total,BTN,0.000135023
1980,coal,BTN,1.72176E-05
1980,natural_gas,BTN,0
1980,petroleum,BTN,3.84176E-05
1980,all_renewable,BTN,0.000079388
1980,renewables,BTN,0.000079388
1980,total,BOL,0.074548129
1980,coal,BOL,0
1980,natural_gas,BOL,0.013062
1980,petroleum,BOL,0.049896685
1980,all_renewable,BOL,0.011589444
1980,renewables,BOL,0.011589444
1980,total,BIH,
