Report generated on: 01-12-2021 14:58:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
INTL.4415-2-AFG-QBTU.A,        Petroleum and other liquids (quad Btu),0.014624098,0.01666759,0.016250901,0.022917937,0.022980726,0.027084834,0.028329758,0.028675112,0.027374636,0.027698618,0.028118186,0.026408512,0.014683914,0.014644024,0.013614067,0.013194499,0.012185452,0.011497729,0.011093382,0.011093398,0.008129111,0.008037032,0.006836039,0.009580643,0.008965576,0.013311272,0.017167204,0.018241911,0.041541548,0.072306945,0.085493838,0.110801523,0.098345426,0.069950161,0.05528505,0.069916271,0.051517535,0.047425619,0.044837896
INTL.4419-2-AFG-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0.007385868,0.007536613,0.007390978,0.00784792,0.00790308,0.00804419,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007554288,0.005338738,0.00518643,0.005254308,0.004657984,0.00410806,0.003629786,0.0034003,0.003409,0.003523912,0.005487034,0.005987215,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020778165,0.02216852,0.022529794,0.024570116,0.025756476,0.025797592
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-AFG-QBTU.A,            Renewables and other (quad Btu),0.007385868,0.007536613,0.007390978,0.00784792,0.00790308,0.00804419,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007554288,0.005338738,0.00518643,0.005254308,0.004657984,0.00410806,0.003629786,0.0034003,0.003409,0.003523912,0.005487034,0.005987215,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020778165,0.02216852,0.022529794,0.024570116,0.025756476,0.025797592
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-ALB-QBTU.A,    Consumption (quad Btu),0.162981812,0.162044485,0.162846103,0.169335794,0.170405722,0.170056255,0.166075378,0.166640528,0.168590873,0.16034058,0.114845327,0.096323689,0.084191238,0.073833455,0.070178221,0.077549684,0.085342627,0.077946674,0.083842515,0.075456234,0.098037356,0.092923343,0.100649484,0.113522384,0.120150196,0.119471541,0.112489454,0.096825094,0.105744864,0.115070874,0.126554971,0.106406474,0.103981501,0.127069018,0.115858133,0.116297302,0.129606018,0.123688036,0.138835119
INTL.4411-2-ALB-QBTU.A,        Coal (quad Btu),0.024317315,0.025770486,0.029070075,0.031462709,0.033997866,0.036247979,0.035668553,0.037287487,0.037487993,0.037114724,0.032372911,0.018421888,0.005235005,0.00346567,0.002812874,0.002119845,0.001664476,0.001232248,0.000753957,0.000903445,0.00109781,0.001248291,0.000948827,0.000948767,0.000902932,0.000819092,0.001621984,0.002359201,0.002858482,0.003923002,0.003524944,0.003311342,0.002968888,0.00264252,0.003339684,0.002822255,0.00219942,0.002175237,0.001973269
INTL.4413-2-ALB-QBTU.A,        Natural gas (quad Btu),0.01047,0.011517,0.01047,0.011517,0.011517,0.01047,0.014658,0.016752,0.026175,0.026175,0.009425153,0.00522,0.003760488,0.001105596,0.00110664,0.00110664,0.001106066,0.000737377,0.001106066,0.000737377,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.000364451,0.001064747,0.001064747,0.000350325,0.000350325,0.000595552,0.000665617,0.001121039,0.001226137,0.001576448,0.001751609,0.001503678
INTL.4415-2-ALB-QBTU.A,        Petroleum and other liquids (quad Btu),0.099297277,0.094720496,0.092567758,0.094720496,0.092821368,0.090415019,0.082449887,0.072966858,0.068141514,0.058063178,0.043014162,0.03854419,0.043791663,0.035639668,0.027742255,0.031145343,0.024568785,0.025573471,0.031009561,0.01910171,0.045761196,0.048300987,0.055914566,0.056532534,0.063251986,0.06309585,0.058567703,0.057138346,0.05647564,0.054445616,0.052663621,0.0521623,0.046020699,0.054955503,0.056805568,0.053080053,0.05483,0.070199116,0.064531253
INTL.4419-2-ALB-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0.02889722,0.030036502,0.03073827,0.031635588,0.032069488,0.032923257,0.033298938,0.039634183,0.036786366,0.038987678,0.0300331,0.034137612,0.031404082,0.033622521,0.038516452,0.043177856,0.0580033,0.050403578,0.050972932,0.054713702,0.050072284,0.042267999,0.042680025,0.054935017,0.054889212,0.054450533,0.051193701,0.036963096,0.045345994,0.055637508,0.070016081,0.050582508,0.054396361,0.068805378,0.054591842,0.059168857,0.07100015,0.049562074,0.070826918
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ALB-QBTU.A,            Renewables and other (quad Btu),0.02889722,0.030036502,0.03073827,0.031635588,0.032069488,0.032923257,0.033298938,0.039634183,0.036786366,0.038987678,0.0300331,0.034137612,0.031404082,0.033622521,0.038516452,0.043177856,0.0580033,0.050403578,0.050972932,0.054713702,0.050072284,0.042267999,0.042680025,0.054935017,0.054889212,0.054450533,0.051193701,0.036963096,0.045345994,0.055637508,0.070016081,0.050582508,0.054396361,0.068805378,0.054591842,0.059168857,0.07100015,0.049562074,0.070826918
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-DZA-QBTU.A,    Consumption (quad Btu),0.780682021,0.663349695,0.952118005,1.070463248,1.130687027,1.046317465,1.066252762,1.138277027,1.213075547,1.175243014,1.217627608,1.353967412,1.301751826,1.197102553,1.233052492,1.289244455,1.263615312,1.20368468,1.250775248,1.246092481,1.274138329,1.275575331,1.307449858,1.323117502,1.295406064,1.490462027,1.559684488,1.549742726,1.677416535,1.784124509,1.777760384,1.937990261,2.098204049,2.037585344,2.299898883,2.35178212,2.336151891,2.361200779,2.515301493
INTL.4411-2-DZA-QBTU.A,        Coal (quad Btu),0.002534253,0.007613437,0.020405691,0.033115233,0.034136037,0.03414135,0.034562011,0.035037691,0.035556089,0.036042449,0.03352495,0.031007452,0.028728003,0.022522316,0.022947858,0.013663494,0.014282054,0.015407586,0.017379099,0.017390795,0.016192248,0.015030295,0.008667333,0.010159707,0.010484977,0.010353876,0.006853398,0.007008415,0.007168335,0.00456704,4.65364E-05,5.49427E-05,0.000433341,0.001259368,0.000835314,0.000576811,0.000575216,0.000924104,0.000412146
INTL.4413-2-DZA-QBTU.A,        Natural gas (quad Btu),0.5428,0.40828,0.65254,0.77408,0.8024,0.68912,0.71036,0.77408,0.84016,0.7788,0.80358,0.9145,0.8614,0.77300974,0.8146838,0.8755246,0.858884108,0.802368101,0.829830104,0.848138107,0.818288103,0.813512102,0.812318102,0.816696103,0.767344096,0.95380712,1.018880128,0.99225735,1.037937868,1.078480265,1.080880555,1.233148946,1.344312373,1.235699254,1.466614646,1.485966983,1.491480102,1.547998949,1.680477876
INTL.4415-2-DZA-QBTU.A,        Petroleum and other liquids (quad Btu),0.232740836,0.243614268,0.274305829,0.260878271,0.288521698,0.316506726,0.318808593,0.324214207,0.335391347,0.357827385,0.379428085,0.407682005,0.41277114,0.40205261,0.397562745,0.399022928,0.388604746,0.384324268,0.400556475,0.378129342,0.4381881,0.444134049,0.483595725,0.491823407,0.513405022,0.518027203,0.528632034,0.544120936,0.625478194,0.691802262,0.685783048,0.688148656,0.73594742,0.790232024,0.824079844,0.859255,0.838878,0.804754979,0.826374511
INTL.4419-2-DZA-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0.002606932,0.00384199,0.004866484,0.002389744,0.005629292,0.006549389,0.002522158,0.004945129,0.001968111,0.002573179,0.001094573,0.000777956,-0.001147317,-0.000482112,-0.002141911,0.001033434,0.001844405,0.001584725,0.00300957,0.002434238,0.001469878,0.002898884,0.002868698,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.016637716,0.017510914,0.010394698,0.008369079,0.005983326,0.005218573,0.007522747,0.00803696
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-DZA-QBTU.A,            Renewables and other (quad Btu),0.002606932,0.00384199,0.004866484,0.002389744,0.005629292,0.006549389,0.002522158,0.004945129,0.001968111,0.002573179,0.001094573,0.000777956,-0.001147317,-0.000482112,-0.002141911,0.001033434,0.001844405,0.001584725,0.00300957,0.002434238,0.001469878,0.002898884,0.002868698,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.016637716,0.017510914,0.010394698,0.008369079,0.005983326,0.005218573,0.007522747,0.00803696
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-ASM-QBTU.A,    Consumption (quad Btu),0.005893112,0.006926477,0.00965509,0.006086904,0.006945454,0.006506691,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004911507,0.004924965,0.004911509,0.004907698
INTL.4411-2-ASM-QBTU.A,        Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ASM-QBTU.A,        Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4415-2-ASM-QBTU.A,        Petroleum and other liquids (quad Btu),0.005893112,0.006926477,0.00965509,0.006086904,0.006945454,0.006506691,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004911507,0.004924965,0.004911509,0.004907698
INTL.4419-2-ASM-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ASM-QBTU.A,            Renewables and other (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-AGO-QBTU.A,    Consumption (quad Btu),0.058366146,0.057863687,0.062007896,0.066296996,0.059894701,0.073766696,0.072853256,0.075135479,0.077495249,0.074983449,0.079608634,0.083441112,0.084668242,0.083123161,0.081101856,0.086994519,0.08361172,0.093916459,0.084527679,0.094348783,0.110717366,0.120223226,0.128113413,0.142170629,0.157220993,0.133857304,0.168775405,0.193996338,0.227374466,0.258724455,0.283817648,0.297535913,0.310739985,0.347761278,0.382763726,0.399779623,0.391409855,0.376609986,0.389020371
INTL.4411-2-AGO-QBTU.A,        Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-AGO-QBTU.A,        Natural gas (quad Btu),0.0096324,0.0092136,0.01047,0.012564,0.012564,0.013611,0.014658,0.016752,0.018846,0.015705,0.019892073,0.02094,0.021075639,0.020705891,0.01922292,0.020705891,0.020705891,0.021075639,0.021445387,0.020705891,0.021075639,0.019596647,0.022924379,0.024033623,0.027731104,0.024033623,0.025142867,0.030689088,0.025142867,0.025512615,0.027139507,0.027805053,0.028100852,0.01508572,0.00854118,0.028581524,0.029690759,0.030060504,0.031647062
INTL.4415-2-AGO-QBTU.A,        Petroleum and other liquids (quad Btu),0.043228106,0.043109997,0.045265496,0.047420996,0.041066701,0.053887496,0.051300896,0.051506939,0.051835409,0.052320305,0.052247925,0.055039372,0.05498806,0.053335041,0.05273896,0.057100637,0.05343439,0.063996363,0.05238564,0.064592882,0.080430224,0.090221248,0.093673197,0.10569338,0.112132162,0.087855878,0.117466215,0.138874002,0.171654636,0.20331696,0.220815085,0.231080612,0.246973165,0.287508463,0.326254106,0.323699156,0.306970834,0.27474336,0.276669445
INTL.4419-2-AGO-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0.00550564,0.00554009,0.0062724,0.006312,0.006264,0.0062682,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.054748262,0.071806122,0.080703865
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-AGO-QBTU.A,            Renewables and other (quad Btu),0.00550564,0.00554009,0.0062724,0.006312,0.006264,0.0062682,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.054748262,0.071806122,0.080703865
,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-ATA-QBTU.A,    Consumption (quad Btu),0.00213195,0.002126125,0.002126125,0.002126125,0.002771535,0.002976575,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.00332254,0.00332238,0.003365764,0.000168117,0.000229959,0.000229943,0.000229783,0.000196199,0.00019569,0.000195674,0.000198729,0.000198478,0.000186509,0.000186509
INTL.4411-2-ATA-QBTU.A,        Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ATA-QBTU.A,        Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4415-2-ATA-QBTU.A,        Petroleum and other liquids (quad Btu),0.00213195,0.002126125,0.002126125,0.002126125,0.002771535,0.002976575,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.003302542,0.003302542,0.003345996,0.000148409,0.000190919,0.000190919,0.000190919,0.000191441,0.000190919,0.000190919,0.00018941,0.000189246,0.000186509,0.000186509
INTL.4419-2-ATA-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000004758,4.7705E-06,0.000004755,0.000009319,0.000009232,0,0
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ATA-QBTU.A,            Renewables and other (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000004758,4.7705E-06,0.000004755,0.000009319,0.000009232,0,0
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-ATG-QBTU.A,    Consumption (quad Btu),0.005804855,0.005168746,0.007029494,0.004134997,0.004560958,0.004548496,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006367219,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009681577,0.009654357,0.009921412,0.009922379,0.010145155,0.010384333,0.010540219,0.010023144,0.010355353
INTL.4411-2-ATG-QBTU.A,        Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ATG-QBTU.A,        Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4415-2-ATG-QBTU.A,        Petroleum and other liquids (quad Btu),0.005804855,0.005168746,0.007029494,0.004134997,0.004560958,0.004548496,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006367219,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009679626,0.009649499,0.009916654,0.009916654,0.010139449,0.01033443,0.010489332,0.009966558,0.010236337
INTL.4419-2-ATG-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-06,0.000004858,0.000004758,5.7246E-06,0.000005706,4.99032E-05,5.08868E-05,5.65862E-05,0.000119017
none,            Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ATG-QBTU.A,            Renewables and other (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-06,0.000004858,0.000004758,5.7246E-06,0.000005706,4.99032E-05,5.08868E-05,5.65862E-05,0.000119017
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-ARG-QBTU.A,    Consumption (quad Btu),1.66435691,1.623688107,1.704391892,1.727382254,1.852708113,1.77329932,1.902358978,1.951230007,1.961690843,1.940613121,1.883977746,1.970589397,2.045206437,2.209271483,2.232663745,2.303394849,2.388563635,2.455570543,2.565298579,2.554447262,2.763996108,2.71273846,2.552774986,2.767972585,2.974688884,3.125909259,3.326097397,3.383017109,3.529194515,3.431722395,3.558427205,3.647300756,3.710973286,3.763937024,3.775567212,3.830630052,3.832191386,3.66386158,3.590232928
INTL.4411-2-ARG-QBTU.A,        Coal (quad Btu),0.034095908,0.030519097,0.031685348,0.02887245,0.023295615,0.027976784,0.036422449,0.038287703,0.038939817,0.040244928,0.036106419,0.031087217,0.031145737,0.028613759,0.038725868,0.035145525,0.032419549,0.031125539,0.030704968,0.032215399,0.028727236,0.023410711,0.019955841,0.024342335,0.028793891,0.037027567,0.035630984,0.036511097,0.05355704,0.031515872,0.038881678,0.055290329,0.044427454,0.04538541,0.043363551,0.041002142,0.039410327,0.040321734,0.04405272
INTL.4413-2-ARG-QBTU.A,        Natural gas (quad Btu),0.368334,0.371412,0.467856,0.460674,0.586872,0.593028,0.64125,0.62073,0.731538,0.821826,0.73517004,0.81594645,0.82259265,0.870573825,0.89492755,0.99604175,1.055828447,1.053245155,1.125946379,1.194219103,1.225587652,1.152148344,1.117089377,1.276146372,1.399037274,1.492404837,1.541118348,1.620831366,1.638914412,1.59204611,1.597581736,1.702389593,1.713829887,1.72242856,1.737374751,1.734127183,1.78723184,1.810186042,1.849925487
INTL.4415-2-ARG-QBTU.A,        Petroleum and other liquids (quad Btu),1.053320697,1.01676124,0.985184804,1.004130666,0.977329625,0.87361473,0.94287238,0.992813505,0.978284328,0.885250195,0.841722485,0.860379825,0.90126585,0.972360365,0.9218148,0.907088145,0.969358686,0.978994605,1.02596536,1.008139125,1.137513921,1.069136397,0.961266194,1.017968477,1.130898902,1.155202805,1.258303069,1.29320957,1.422393445,1.355714833,1.48022617,1.473905185,1.561940027,1.56905934,1.576160671,1.634033684,1.595071,1.402704816,1.270231936
INTL.4419-2-ARG-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",0.208606305,0.20499577,0.21966574,0.233705138,0.265210873,0.278679805,0.281814149,0.2993988,0.212928698,0.193291997,0.270978802,0.263175906,0.2902022,0.337723534,0.377195527,0.36511943,0.330956953,0.392205245,0.382681872,0.319873635,0.3721673,0.468043008,0.454463574,0.449515401,0.415958816,0.441274049,0.491044996,0.432465076,0.414329618,0.45244558,0.441737621,0.41571565,0.390775918,0.427063714,0.41866824,0.421467043,0.410478219,0.410648988,0.426022785
