Report generated on: 01-12-2021 14:58:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-WORL-QBTU.A,    Consumption (quad Btu),292.2456076,288.7977567,288.9913956,292.99236,306.435632,314.5198013,321.2897411,331.9672603,344.792446,350.2823588,354.8823877,352.8402265,351.6982256,354.5824027,358.516265,368.4844444,378.2483162,379.1044514,382.0900001,389.3518334,401.5249194,404.6778796,413.4369767,427.9394093,450.1078424,465.062709,480.4395816,493.2834438,499.4832996,493.3329732,522.5540268,537.6374548,549.9036445,560.7827389,565.8139318,568.7028389,575.5784519,584.5118878,598.0024015
INTL.4411-2-WORL-QBTU.A,        Coal (quad Btu),77.96313121,78.32242362,79.69974761,81.855118,85.45442497,88.3703828,89.37442769,93.01811269,95.83597274,95.55599394,97.04637928,91.47331693,88.92637919,89.07098275,89.56692449,92.26417259,94.23713509,92.47943656,92.63279583,93.03740687,97.47815547,98.83564472,101.469919,109.9564685,119.4051382,127.7586866,135.6459105,142.0862397,143.9372307,143.6569593,152.8221503,162.3238761,168.5257695,172.0187622,171.1668052,168.2829514,165.4890009,163.8666681,165.3138351
INTL.4413-2-WORL-QBTU.A,        Natural gas (quad Btu),53.8652233,53.89542347,54.05525545,55.14977267,60.84289642,63.37166179,64.22439064,67.56196998,71.01004825,74.22972627,75.12321919,76.72989846,77.11050759,79.11024177,79.00091895,81.32442025,83.19845675,83.69926883,84.37331275,86.51886533,89.60485068,89.931355,94.06020268,96.78718448,99.79480965,102.6069057,106.3121229,109.7209404,112.8727651,109.1493137,119.4238793,122.9924861,125.8026476,127.6546762,128.1451247,130.051693,132.6992292,136.6946132,143.4746801
INTL.4415-2-WORL-QBTU.A,        Petroleum and other liquids (quad Btu),132.1054505,126.8511774,123.9492502,122.2538985,123.5263572,123.6028645,127.1675516,129.5204406,133.7163303,135.3252648,136.5025281,136.9251969,137.804392,136.5762555,139.3378203,142.1253805,146.5733751,148.6092368,150.3944418,153.6299539,156.9858396,158.1249858,159.5425131,162.9629892,169.8322803,171.9459676,174.199018,176.7620343,176.0525429,173.1399365,178.743104,179.9624592,182.968276,184.819496,187.5288417,190.0947273,193.6638778,196.9946356,198.3187862
INTL.4419-2-WORL-QBTU.A,"        Nuclear, renewables, and other (quad Btu)",28.31180253,29.72873218,31.28714231,33.73357086,36.61195339,39.17489224,40.52337124,41.86673696,44.23009468,45.17137384,46.21026114,47.71181422,47.85694684,49.82492271,50.6106012,52.77047101,54.23934924,54.31650921,54.68944972,56.16560735,57.45607365,57.78589407,58.36434192,58.23276712,61.07561428,62.75114912,64.2825302,64.7142294,66.62076101,67.38676381,71.56489312,72.35863349,72.60695132,76.28980461,78.97316019,80.27346719,83.72634395,86.95597095,90.89510017
INTL.4417-2-WORL-QBTU.A,            Nuclear (quad Btu),7.575723115,8.527174555,9.507694575,10.71834417,12.99466205,15.29859608,16.24791424,17.64390534,19.22691925,19.7400327,20.35692385,21.18298292,21.27975569,22.00842294,22.40589607,23.25776552,24.10778117,23.88013315,24.30730019,25.08382381,25.6503224,26.38286995,26.67166751,26.29527355,27.24878676,27.30456766,27.67005876,27.16274909,27.03014105,26.64156265,27.37991272,26.24756821,24.47428217,24.65205658,25.13852788,25.43764003,25.713369,25.89757202,26.51156519
INTL.4418-2-WORL-QBTU.A,            Renewables and other (quad Btu),20.73607942,21.20155763,21.77944774,23.01522669,23.61729133,23.87629616,24.275457,24.22283161,25.00317543,25.43134115,25.85333729,26.5288313,26.57719115,27.81649977,28.20470513,29.51270549,30.13156807,30.43637606,30.38214954,31.08178354,31.80575125,31.40302412,31.69267441,31.93749358,33.82682751,35.44658146,36.61247143,37.55148031,39.59061996,40.74520116,44.1849804,46.11106528,48.13266914,51.63774803,53.83463231,54.83582717,58.01297495,61.05839894,64.38353498
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-2-AFG-QBTU.A,    Consumption (quad Btu),0.026583214,0.029949456,0.031897811,0.03902179,0.03920224,0.038274961,0.039111199,0.063065158,0.111220787,0.109364539,0.108320341,0.047438198,0.031281766,0.031068733,0.030081109,0.025348473,0.024860219,0.023673388,0.023039555,0.023027437,0.020178062,0.01591449,0.015109509,0.01776928,0.016413669,0.020995961,0.026428278,0.034254709,0.058526483,0.095348795,0.118538529,0.161050802,0.147607649,0.124504273,0.114313751,0.126290136,0.117575654,0.124941257,0.127572939
INTL.4411-2-AFG-QBTU.A,        Coal (quad Btu),0.002479248,0.002604252,0.003020933,0.003020933,0.003083435,0.003145937,0.003333443,0.003479281,0.002875095,0.00264592,0.002187572,0.001958398,0.000166672,0.000145838,0.000125004,0.00010417,6.2502E-05,4.1668E-05,4.1668E-05,2.0834E-05,2.0834E-05,0.000541685,0.000437514,0.000729191,0.000708357,0.000687523,0.000729191,0.005062667,0.007229405,0.010417009,0.015104664,0.03083431,0.025834152,0.028063389,0.031613501,0.028438401,0.03537612,0.045647279,0.050939113
INTL.4413-2-AFG-QBTU.A,        Natural gas (quad Btu),0.002094,0.003141,0.005235,0.005235,0.005235,0,0,0.023034,0.07329,0.071196,0.070150672,0.011517,0.011092442,0.011092442,0.01108773,0.00739182,0.008504205,0.008504205,0.008504205,0.008504205,0.008504205,0.00184874,0.00184874,0.000739496,0.000739496,0.000739496,0.000739496,0.001478992,0.00184874,0.001109244,0.00524668,0.005967683,0.005927011,0.005712559,0.00524668,0.005405671,0.006111883,0.006111883,0.005998338
